No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,date_time,date_time_month,RAIN_GROUP
269,2013,3,12,4,112,140,68,81,1399,47,4.3,1006.3,1.5,0.4,E,0.9,Aotizhongxin,3/12/2013 4:00,2013-03,No Rain
270,2013,3,12,5,140,237,34,74,2100,47,4.7,1006.1,1.5,0.1,NNE,1.3,Aotizhongxin,3/12/2013 5:00,2013-03,No Rain
271,2013,3,12,6,146,165,22,66,2100,47,4.1,1006.2,2.6,0.9,W,1,Aotizhongxin,3/12/2013 6:00,2013-03,No Rain
272,2013,3,12,7,115,121,21,77,2100,47,3.5,1006.9,2.2,0.9,NW,1.4,Aotizhongxin,3/12/2013 7:00,2013-03,No Rain
273,2013,3,12,8,120,122,17,78,1600,47,3.1,1006.9,1.9,0.4,N,1.5,Aotizhongxin,3/12/2013 8:00,2013-03,No Rain
278,2013,3,12,13,129,84,15,68,1500,47,5.3,1006.6,2.8,0.1,NE,1.8,Aotizhongxin,3/12/2013 13:00,2013-03,No Rain
429,2013,3,18,20,55,133,38,50,800,42,4.4,1003.7,-3.6,0.1,S,4.7,Aotizhongxin,3/18/2013 20:00,2013-03,No Rain
449,2013,3,19,16,45,49,19,33,600,36,3.5,1009.3,1.7,0.2,NE,1.7,Aotizhongxin,3/19/2013 16:00,2013-03,No Rain
450,2013,3,19,17,38,39,14,37,600,29,2.8,1009.8,1.8,0.7,NE,2.5,Aotizhongxin,3/19/2013 17:00,2013-03,No Rain
451,2013,3,19,18,28,28,10,40,700,25,2.3,1011.4,1.6,1.4,NE,1.8,Aotizhongxin,3/19/2013 18:00,2013-03,Light Rain
452,2013,3,19,19,30,30,10,50,900,14,1.7,1013.2,1,1.4,NE,2.3,Aotizhongxin,3/19/2013 19:00,2013-03,Light Rain
453,2013,3,19,20,38,24,9,61,800,6,0.9,1013.9,0.5,1.8,NE,1.6,Aotizhongxin,3/19/2013 20:00,2013-03,Light Rain
454,2013,3,19,21,39,50,9,67,1200,2,0.9,1014.9,0.5,1.5,ESE,1.5,Aotizhongxin,3/19/2013 21:00,2013-03,Light Rain
455,2013,3,19,22,65,81,8,64,1200,4,0.4,1015.6,0.1,1.3,SSE,1.4,Aotizhongxin,3/19/2013 22:00,2013-03,Light Rain
456,2013,3,19,23,65,81,9,64,900,5,-0.1,1016.4,-0.5,0.7,S,1.6,Aotizhongxin,3/19/2013 23:00,2013-03,No Rain
457,2013,3,20,0,68,78,6,43,800,8,-0.3,1017.4,-0.6,1,SE,0,Aotizhongxin,3/20/2013 0:00,2013-03,No Rain
458,2013,3,20,1,47,47,5,40,800,10,-1.2,1018.1,-1.5,1.6,SW,1.2,Aotizhongxin,3/20/2013 1:00,2013-03,Light Rain
459,2013,3,20,2,40,42,5,39,1100,9,-1.2,1018.5,-1.3,0.9,SSW,0,Aotizhongxin,3/20/2013 2:00,2013-03,No Rain
460,2013,3,20,3,52,42,5,39,1100,9,-1.1,1018.7,-1.2,1.5,NE,1.2,Aotizhongxin,3/20/2013 3:00,2013-03,Light Rain
461,2013,3,20,4,52,35,5,40,1000,10,-2.1,1019,-2.4,2.5,E,1.6,Aotizhongxin,3/20/2013 4:00,2013-03,Light Rain
831,2013,4,4,14,90,165,92,99,2600,18,8.3,1007.1,1.7,0.1,NNE,2.2,Aotizhongxin,4/4/2013 14:00,2013-04,No Rain
833,2013,4,4,16,75,141,32,81,2000,20,6,1007.4,4.2,1.4,NNE,1.7,Aotizhongxin,4/4/2013 16:00,2013-04,Light Rain
834,2013,4,4,17,63,102,19,88,2100,12,5.8,1007.8,4,0.7,NE,1.8,Aotizhongxin,4/4/2013 17:00,2013-04,No Rain
835,2013,4,4,18,63,102,19,88,2200,2,5.7,1008.5,4.2,1.3,NNE,1.9,Aotizhongxin,4/4/2013 18:00,2013-04,Light Rain
836,2013,4,4,19,83,85,14,106,2399,2,5.6,1009.3,4.6,1.9,NE,1.2,Aotizhongxin,4/4/2013 19:00,2013-04,Light Rain
837,2013,4,4,20,72,90,14,108,2399,2,5.6,1009.7,4.7,0.9,NE,1.3,Aotizhongxin,4/4/2013 20:00,2013-04,No Rain
839,2013,4,4,22,76,86,13,96,2399,2,5.8,1010.1,5.1,0.7,N,0,Aotizhongxin,4/4/2013 22:00,2013-04,No Rain
840,2013,4,4,23,80,88,13,90,2299,2,5.9,1010.7,5.3,1.1,NE,1.7,Aotizhongxin,4/4/2013 23:00,2013-04,Light Rain
841,2013,4,5,0,80,88,13,90,2299,2,5.9,1010.9,5.5,0.3,NE,1.2,Aotizhongxin,4/5/2013 0:00,2013-04,No Rain
842,2013,4,5,1,84,91,13,85,2200,2,6.1,1011.4,5.7,0.2,E,0.7,Aotizhongxin,4/5/2013 1:00,2013-04,No Rain
843,2013,4,5,2,88,89,13,81,2200,2,6.1,1011.5,5.7,0.4,NE,0.4,Aotizhongxin,4/5/2013 2:00,2013-04,No Rain
844,2013,4,5,3,88,89,13,81,2200,2,6.3,1010.9,5.9,0.8,E,0.7,Aotizhongxin,4/5/2013 3:00,2013-04,No Rain
845,2013,4,5,4,109,81,14,80,2000,2,6.2,1010.8,5.9,0.5,N,0.9,Aotizhongxin,4/5/2013 4:00,2013-04,No Rain
846,2013,4,5,5,112,80,13,67,1899,2,6.1,1010.7,5.8,0.1,NE,0.9,Aotizhongxin,4/5/2013 5:00,2013-04,No Rain
848,2013,4,5,7,116,87,13,64,2000,2,6.9,1011.4,6.3,0.1,NE,1.1,Aotizhongxin,4/5/2013 7:00,2013-04,No Rain
1186,2013,4,19,9,50,107,42,64,700,33,3.5,1021.6,1.5,0.2,SW,5.4,Aotizhongxin,4/19/2013 9:00,2013-04,No Rain
1187,2013,4,19,10,42,71,11,46,600,40,4.7,1020.9,1.5,0.1,SSW,2.8,Aotizhongxin,4/19/2013 10:00,2013-04,No Rain
2086,2013,5,26,21,51,54,12,44,500,27,18.1,1005.3,17.1,0.1,NNE,0.6,Aotizhongxin,5/26/2013 21:00,2013-05,No Rain
2087,2013,5,26,22,48,54,11,37,300,28,17.1,1005.5,16.1,0.4,SE,1.3,Aotizhongxin,5/26/2013 22:00,2013-05,No Rain
2088,2013,5,26,23,44,18,10,37,200,25,16.8,1005.6,15.8,0.1,ESE,0.8,Aotizhongxin,5/26/2013 23:00,2013-05,No Rain
2089,2013,5,27,0,36,36,9,24,200,38,16.7,1004.8,16.1,0.6,ENE,0.8,Aotizhongxin,5/27/2013 0:00,2013-05,No Rain
2090,2013,5,27,1,44,17,10,24,300,37,16.6,1004.3,16.1,1.2,ESE,0.7,Aotizhongxin,5/27/2013 1:00,2013-05,Light Rain
2092,2013,5,27,3,38,46,10,34,500,2,16.5,1003.6,16,0.1,E,0.7,Aotizhongxin,5/27/2013 3:00,2013-05,No Rain
